id;id_catena;nome;id_comune;indirizzo;id_capo_equipe
209;65;Despar (ex Di Meglio ?);89013;via Platone 3;149
210;182;SI più;89013;;150
211;194;SISA (ex Sessa Superstore Essequattro?);89013;via Romagnosi 20;151
212;195;SMA;89013;via Enrico Amante 1;152
213;54;CONAD Sicilia;89014;Via Aldo Moro 52;153
214;66;Despar (ex Di Meglio);89014;via Cassar Scalia;154
215;73;Ergon Ard;89014;Viale Toronto;155
216;15;ARD ;89015;via D.Alighieri ;156
217;45;CONAD;89015;via Purbella;
218;67;Despar (ex Sidis?);89015;via Tagliamento;157
219;68;Di Meglio;89015;via Leggio;158
220;69;Di Meglio ;89015;via D.Alighieri 12;159
221;83;Eurospin ;89015;via G.Fava 13-c.da Pantano;160
222;136;Maxi sconto;89015;via G.Fava 13-c.da Pantano;161
223;14;ARD;89021;via Nievo;162
224;62;Despar;89021;via Annunziata;163
225;166;Punto SMA;89021;via Edison 3;164
226;18;ARD Discount;89016;via cav. Marino (VIA GRANATI NUOVI);
227;54;Conad;89016;via Sipione;
228;54;CONAD;89016;c.da Vignale dei Peri;
229;54;Conad;89016;via M.llo dell'Ali ang. via F.lli Bandiera;
230;75;Ergon Despar (ex Di Meglio );89016;c.da Vignale dei Peri;
231;82;Eurospin;89016;c.da Vignale dei Peri;
232;124;Komedis CGS Carpanzano;89016;via Canova;
233;126;Lidl;89016;c.da Incallebba;
234;130;Margherita;89016;via Sipione;
235;161;Penny Market;89016;c.da Vignale dei Peri;
236;193;SISA (ex Alis [Blandino]);89016;via Bellini;
237;201;Spatola (ex Conad);89016;via S.Alessandra;
238;201;Spatola (ex Conad);89016;via S. Giuga;
239;201;Spatola (ex Conad);89016;via Solferino;
240;137;Maxi Sconto (ex 2M);89018;via Calatafimi 99-101;165
241;192;SISA;89018;circonv. per Palazzolo ;166
242;5;Alessio Iannello (ex Murè Sebastiano);89019;via Giovanni XXIII;167
243;15;ARD ;89019;viale Mario Giardino;168
244;45;Conad;89019;viale Mario Giardino;169
245;48;CONAD (ex Standa ex VE.DI. Supermercati sas);89019;viale Mario Giardino;170
246;53;Conad Margherita;89019;via Principe di Piemonte;171
247;53;Conad Margherita;89019;via Andrea Gurciullo;172
248;70;Dimeglio [ex Di Meglio Point Minnalà];89019;via Cesare Battisti (ang. via Gurciullo);173
249;142;Maxisconto [ex Euro Hard];89019;via p. Gaudenzio Cianci;174
250;144;MD;89019;c.da Albinelli;175
251;162;Pratikò (ex Eurosconto);89019;via Libertà;176
252;14;ARD;89017;v.le Tunisi 91;177
253;15;ARD ;89017;v.le S.Panagia 244;178
254;15;ARD ;89017;v.le Epipoli;179
255;15;ARD ;89017;via Elorina 68;180
256;23;Auchan;89017;c.da Spalla ;181
257;25;Beldì SISA;89017;viale Zecchino 72/c;182
258;34;Carrefour (ex Eurospar);89017;via Necropoli del Fusco;183
259;45;Conad;89017;v.le S.Panagia 244;178
260;47;Conad (ex PAM);89017;v.le Epipoli 104 (campetti);184
261;51;Conad Formisano;89017;via Ierone I 50;185
262;51;Conad Formisano;89017;viale Zecchino 44;186
263;51;Conad Formisano;89017;v.le Epipoli (Scaringi);187
264;55;ConTè [ex Bontò];89017;via Randone;188
265;64;Despar (ex Di Meglio );89017;viale Teracati 103;189
266;83;Eurospin ;89017;via Columba 29;190
267;82;Eurospin;89017;via don Sturzo;191
268;83;Eurospin ;89017;via Lentini 50;192
269;89;Famila;89017;via Elorina;193
270;102;Gemar;89017;v.le Teracati 158;194
271;102;Gemar;89017;via Italia 138;195
272;102;Gemar;89017;via Elorina;193
273;102;Gemar;89017;via Paternò;196
274;102;Gemar;89017;via Garrone;197
275;102;Gemar;89017;viale Sc.Greca ;198
276;114;Il Supermercato aff. SIDIS (ex Carrefour Express ex Euro Hard);89017;via Pitia;199
277;126;Lidl;89017;via Elorina 140;200
278;136;Maxi Sconto;89017;via Sofio Ferrero 18;188
279;138;Maxi Sconto (ex Conad SIR);89017;via La Spezia 37;201
280;143;Maxisidis;89017;v.le Teracati;202
281;127;MD;89017;Targia;203
282;161;Penny Market;89017;via Algeri;204
283;186;Sidis;89017;via Oglio;205
284;191;Simply SMA;89017;viale Sc.Greca 350;206
285;191;Simply SMA;89017;via Tisia 57;207
286;192;SISA;89017;via Accolla;208
287;203;Super A & O;89017;via Algeri 1;209
288;74;Despar;88003;Corso Ho Chi Min 38;
289;74;Despar;88003;Via F.lli Cervi;
290;74;Despar;88003;Via Roma-ang.Libertà;
291;74;Despar;88003;Via XXIV Maggio  57;
292;74;Interspar;88003;C.da Giardinello;
293;82;Eurospin;88003;S,S, 115;
294;127;MD;88003;;
295;192;Sisa;88003;Via Piave 30;
296;45;Conad;88005;C.da Garzalla;
297;45;Conad;88005;Via Acireale;
298;45;Conad;88005;Via Papa Giovanni XXIIII;
299;74;Ard Discount;88005;Via Simeto;
300;82;Eurospin;88005;Contrada Favara;
301;127;MD;88005;C.da Garzalla;
302;74;Eurospar;88009;Via Caboto - Marina di Ragusa;
303;33;Carrefour Market;88006;Via Medaglie D'Oro 36;
304;45;Conad;88006;Corso Sicilia 54;
305;45;Conad;88006;SS 115-KM 338;
306;45;Conad;88006;Via Catagirasi 12;
307;45;Conad;88006;Via Gerratana 31;
308;45;Conad;88006;Via Sacro Cuore 12;
309;74;Ard Disconut;88006;Via Sorda Sampieri  116;
310;74;Ard Discount;88006;Via Sacro Cuore  126;
311;74;Despar;88006;Via Don Bosco 28;
312;74;Eurospar;88006;Via Fosso Tantillo;
313;126;LiDL;88006;C.so S. Pertini  12;
314;45;Todis;88006;Via Loreto Gallinara 156 - Modica Alta;
315;45;Conad;88008;Via De Gasperi;
316;45;Conad;88008;Via Sciascia;
317;45;Conad;88008;Via Toprino;
318;74;Ard Disconut;88008;Via dell'Arno 36;
319;74;Ard Discount;88008;C.da Carpintera;
320;74;Despar;88008;Via Magenta 80;
321;127;MD;88008;Via L, Da Vinci;
322;161;Penny Market;88008;Via M. Rapisardi 132;
323;45;Conad;88009;Via Ercolano;
324;45;Conad;88009;Via Vincenzo Malfitano 9;
325;45;Conad Superstore;88009;Via A, Grandi- Le Masserie;
326;58;Ipercoop;88009;C/C Ibleo-V.le delle Americhe;
327;74;Ard Disconut;88009;Via Failla 4;
328;74;Ard Discount;88009;Via Anfuso ang La Pira;
329;74;Despar;88009;C.so Vittorio Veneto;
330;74;Despar;88009;Via Aspromonte;
331;74;Despar;88009;Via Buonarroti 100;
